Source,Call
data_profiler.profile_dataset,data_profiler.df.duplicated.sum
data_profiler.profile_dataset,data_profiler.profile_temporal_data
data_profiler.profile_dataset,data_profiler.df.columns.tolist
data_profiler.profile_dataset,data_profiler.df.dtypes.to_dict
data_profiler.profile_dataset,data_profiler.df.duplicated
data_profiler.count_empty_values,data_profiler.sum
data_profiler.count_empty_values,data_profiler.sum
data_profiler.count_empty_values,data_profiler.sum
data_profiler.count_empty_values,data_profiler.sum
data_profiler.count_empty_values,data_profiler.series.str.strip
data_profiler.count_empty_values,data_profiler.series.isna.sum
data_profiler.count_empty_values,data_profiler.series.isnan.sum
data_profiler.count_empty_values,data_profiler.series.str.strip
data_profiler.count_empty_values,data_profiler.series.str.strip
data_profiler.count_empty_values,data_profiler.series.isna
data_profiler.count_empty_values,data_profiler.series.isnan
data_profiler.profile_column_as_string,data_profiler.col_data.nunique
data_profiler.profile_column_as_string,data_profiler.col_data.str.len
data_profiler.profile_column_as_string,data_profiler.col_data.value_counts.head.to_dict
data_profiler.profile_column_as_string,data_profiler.col_data.value_counts.tail.to_dict
data_profiler.profile_column_as_string,data_profiler.col_data.duplicated.sum
data_profiler.profile_column_as_string,data_profiler.col_data.str.isupper.sum
data_profiler.profile_column_as_string,data_profiler.col_data.str.islower.sum
data_profiler.profile_column_as_string,data_profiler.identify_invalid_patterns
data_profiler.profile_column_as_string,data_profiler.col_data.isna.sum
data_profiler.profile_column_as_string,data_profiler.col_data.str.strip.isin.sum
data_profiler.profile_column_as_string,data_profiler.col_data.value_counts.head
data_profiler.profile_column_as_string,data_profiler.col_data.value_counts.tail
data_profiler.profile_column_as_string,data_profiler.col_data.duplicated
data_profiler.profile_column_as_string,data_profiler.col_data.str.isupper
data_profiler.profile_column_as_string,data_profiler.col_data.str.islower
data_profiler.profile_column_as_string,data_profiler.string_lengths.min
data_profiler.profile_column_as_string,data_profiler.string_lengths.max
data_profiler.profile_column_as_string,data_profiler.string_lengths.mean
data_profiler.profile_column_as_string,data_profiler.col_data.isna
